,X,Y,Z
LM 1,0.2079087649372317,11.121166920560912,2.1027760406879845
LM 2,-1.0511771412838296,9.241881209396617,2.039746730370698
LM 3,1.4081220069415914,9.257555657937841,2.013949771193548
LM 4,-1.8470082781630541,4.995710822234239,3.457050912308612
LM 5,2.084674454033474,4.918772425644594,3.4642946400862216
LM 6,-0.567775265812331,3.728765677906021,4.0781510838258095
LM 7,0.7476406581708904,3.7421398137488864,4.082338204420565
LM 8,-5.0427762294733,2.4296317118388635,0.27734583389346873
LM 9,5.193402107866661,2.2478092061778616,0.3357529578752638
LM 10,-2.7880083501295014,-0.21504055076942816,3.745409122589566
LM 11,2.7922089952927145,-0.31253889822135034,3.759226664734433
LM 12,-5.863032765521535,-0.9485957580321233,-0.8335729377143144
LM 13,-0.17871283882770933,-3.2949466792684845,4.089989667103093
LM 14,5.855416522655081,-1.2538984748513555,-0.7862491202789195
LM 15,-4.3842679828888,-7.3931926306202325,1.368742501212756
LM 16,-0.1724709268884872,-7.219179594174489,3.1369907025110773
LM 17,3.9657593886397535,-7.601246612889697,1.436528432806529
LM 18,-3.8852554470406786,-8.891053681253073,0.6538299963943551
LM 19,-0.2695397936444708,-10.28544541710764,1.6314644655349844
LM 20,3.444302355866398,-9.045699489981583,0.6743850597176427
LM 21,-0.25286758667422077,-10.998737371913764,-1.311285077820427
LM 22,4.850777739935473,-6.979676754442791,-1.8062608414891892
LM 23,5.027577221727736,-4.244967840187318,0.6968407816704791
LM 24,4.6211228666104365,-4.472475225971984,-0.5949729889877299
LM 25,-5.173966412047985,-6.680746284918078,-1.8510261975778912
LM 26,-5.2031919005535965,-4.006691070500104,0.6597462719810856
LM 27,-4.784408369300729,-4.1900795303690765,-0.6172871291583957
LM 28,0.19900348053930186,10.839126744587675,-0.45952807872096313
LM 29,0.18302104671094158,8.971380612423433,-0.7789947159918784
LM 30,0.4544638361599497,8.066812791465503,-0.702032863440123
LM 31,-0.1489055508133906,8.097470309054755,-0.711831310311938
LM 32,1.2276599476735353,6.397337924140469,-0.9733016915927115
LM 33,-0.9647825543133521,6.411740378968975,-0.9778513810222084
LM 34,2.3073917539126096,5.357678435115918,-0.8059187161865782
LM 35,-2.0554431171470284,5.464699945702076,-0.819325145221232
LM 36,1.8875924570422484,4.096277071747019,-1.241735803573751
LM 37,-1.661024530604311,4.156886345484479,-1.2583072707617482
LM 38,0.5440434649602993,3.1579167659882716,-1.0623425910335424
LM 39,-0.3568104933296611,3.185706353395627,-1.0672008366095347
LM 40,0.6627094243584165,1.4631035557557082,-1.6201566611156155
LM 41,-0.5327732812846454,1.5197937401337291,-1.6093572152805053
LM 42,1.692209713295702,0.5811644685792997,-2.1589283428495922
LM 43,-1.6299541395131227,0.6410042146222281,-2.1583671500182535
LM 44,0.05285767826208262,-0.31055271195580997,-2.4608432733707253
LM 45,0.019645675154272506,-1.0681242515217892,-1.6469041687494064
LM 46,0.6730388154405973,-4.589056007769663,-3.055194700722132
LM 47,-0.8423073459252581,-4.531265609511348,-3.0452316677448805
LM 48,2.017934080382886,-8.408552263344609,-3.4349449407237818
LM 49,-2.388367519968442,-8.282892353854583,-3.460198977513507
LM 50,-0.16850041837065682,-7.8544100221248705,-3.8828268413800306
LM 51,0.09284378294979886,2.987531982944246,3.4874187960433516
